Station;143 Silbersteinstraße;143 Silbersteinstraße;143 Silbersteinstraße;143 Silbersteinstraße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

20.11.2017 01:00;13;1;12;14
20.11.2017 02:00;9;1;10;11
20.11.2017 03:00;9;1;10;12
20.11.2017 04:00;9;2;14;17
20.11.2017 05:00;10;5;23;30
20.11.2017 06:00;10;10;26;41
20.11.2017 07:00;13;28;42;84
20.11.2017 08:00;15;31;49;96
20.11.2017 09:00;15;45;54;123
20.11.2017 10:00;16;53;41;117
20.11.2017 11:00;14;20;31;60
20.11.2017 12:00;14;15;29;52
20.11.2017 13:00;17;21;32;63
20.11.2017 14:00;16;29;41;85
20.11.2017 15:00;18;31;41;88
20.11.2017 16:00;14;32;49;98
20.11.2017 17:00;13;47;58;130
20.11.2017 18:00;13;43;54;119
20.11.2017 19:00;23;33;48;99
20.11.2017 20:00;32;33;47;97
20.11.2017 21:00;30;32;44;93
20.11.2017 22:00;26;43;47;113
20.11.2017 23:00;24;51;51;129
21.11.2017 00:00;22;27;34;74
21.11.2017 01:00;21;20;28;58
21.11.2017 02:00;19;8;24;37
21.11.2017 03:00;19;12;23;41
21.11.2017 04:00;21;12;25;44
21.11.2017 05:00;21;25;25;63
21.11.2017 06:00;22;77;42;159
21.11.2017 07:00;25;152;65;298
21.11.2017 08:00;23;176;65;335
21.11.2017 09:00;26;197;80;381
21.11.2017 10:00;24;265;91;496
21.11.2017 11:00;25;264;92;494
21.11.2017 12:00;23;239;76;441
21.11.2017 13:00;22;210;78;398
21.11.2017 14:00;20;203;72;383
21.11.2017 15:00;23;182;67;345
21.11.2017 16:00;25;233;89;444
21.11.2017 17:00;24;192;78;370
21.11.2017 18:00;21;161;65;312
21.11.2017 19:00;21;140;58;271
21.11.2017 20:00;20;91;46;186
21.11.2017 21:00;19;85;44;173
21.11.2017 22:00;15;86;43;175
21.11.2017 23:00;15;66;36;137
22.11.2017 00:00;12;44;27;93
22.11.2017 01:00;14;32;25;75
22.11.2017 02:00;12;25;24;63
22.11.2017 03:00;12;28;25;68
22.11.2017 04:00;15;42;32;97
22.11.2017 05:00;15;13;25;46
22.11.2017 06:00;22;27;34;75
22.11.2017 07:00;22;85;56;185
22.11.2017 08:00;23;90;55;192
22.11.2017 09:00;25;140;71;286
22.11.2017 10:00;24;146;72;296
22.11.2017 11:00;23;112;60;231
22.11.2017 12:00;22;118;68;248
22.11.2017 13:00;23;109;64;230
22.11.2017 14:00;28;98;69;220
22.11.2017 15:00;32;128;73;268
22.11.2017 16:00;32;164;84;336
22.11.2017 17:00;32;152;83;316
22.11.2017 18:00;33;141;80;295
22.11.2017 19:00;31;128;74;270
22.11.2017 20:00;28;69;52;157
22.11.2017 21:00;33;109;75;241
22.11.2017 22:00;32;105;60;220
22.11.2017 23:00;38;82;54;179
23.11.2017 00:00;32;60;51;143
23.11.2017 01:00;30;45;44;112
23.11.2017 02:00;28;20;38;69
23.11.2017 03:00;27;36;41;97
23.11.2017 04:00;24;25;38;76
23.11.2017 05:00;23;49;41;111
23.11.2017 06:00;26;105;71;231
23.11.2017 07:00;31;241;102;470
23.11.2017 08:00;30;251;106;489
23.11.2017 09:00;32;270;100;514
23.11.2017 10:00;41;180;84;359
23.11.2017 11:00;41;161;77;322
23.11.2017 12:00;30;138;79;291
23.11.2017 13:00;28;118;74;254
23.11.2017 14:00;32;115;65;240
23.11.2017 15:00;26;139;86;298
23.11.2017 16:00;26;155;91;327
23.11.2017 17:00;33;188;102;389
23.11.2017 18:00;30;135;91;298
23.11.2017 19:00;29;110;78;247
23.11.2017 20:00;27;62;55;150
23.11.2017 21:00;23;44;49;116
23.11.2017 22:00;23;42;52;116
23.11.2017 23:00;24;40;53;113
24.11.2017 00:00;30;70;68;175
24.11.2017 01:00;24;28;47;90
24.11.2017 02:00;26;39;53;113
24.11.2017 03:00;21;26;50;90
24.11.2017 04:00;22;31;53;101
24.11.2017 05:00;23;59;53;143
24.11.2017 06:00;26;114;59;232
24.11.2017 07:00;33;224;82;424
24.11.2017 08:00;32;170;76;336
24.11.2017 09:00;37;159;71;314
24.11.2017 10:00;41;139;76;288
24.11.2017 11:00;31;116;56;233
24.11.2017 12:00;29;72;51;161
24.11.2017 13:00;31;87;63;196
24.11.2017 14:00;32;140;91;305
24.11.2017 15:00;18;53;54;136
24.11.2017 16:00;15;44;54;121
24.11.2017 17:00;19;16;40;65
24.11.2017 18:00;18;14;44;66
24.11.2017 19:00;19;28;53;96
24.11.2017 20:00;21;18;49;76
24.11.2017 21:00;21;49;56;131
24.11.2017 22:00;24;64;68;165
24.11.2017 23:00;26;76;69;184
25.11.2017 00:00;28;62;60;155
25.11.2017 01:00;24;48;52;125
25.11.2017 02:00;23;30;47;92
25.11.2017 03:00;25;31;46;94
25.11.2017 04:00;25;33;45;96
25.11.2017 05:00;23;31;40;87
25.11.2017 06:00;21;51;41;118
25.11.2017 07:00;21;43;38;103
25.11.2017 08:00;19;36;35;90
25.11.2017 09:00;15;29;29;73
25.11.2017 10:00;13;36;33;89
25.11.2017 11:00;12;37;40;97
25.11.2017 12:00;12;18;35;62
25.11.2017 13:00;9;14;32;53
25.11.2017 14:00;8;15;35;58
25.11.2017 15:00;8;18;34;62
25.11.2017 16:00;12;14;32;54
25.11.2017 17:00;13;12;35;54
25.11.2017 18:00;11;10;37;52
25.11.2017 19:00;15;21;54;85
25.11.2017 20:00;20;22;44;77
25.11.2017 21:00;22;10;27;41
25.11.2017 22:00;25;8;28;41
25.11.2017 23:00;26;12;30;48
26.11.2017 00:00;28;24;36;73
26.11.2017 01:00;29;29;40;84
26.11.2017 02:00;31;12;35;53
26.11.2017 03:00;31;25;36;74
26.11.2017 04:00;29;15;31;54
26.11.2017 05:00;32;16;30;55
26.11.2017 06:00;33;21;35;68
26.11.2017 07:00;29;22;32;65
26.11.2017 08:00;30;24;33;70
26.11.2017 09:00;29;22;30;64
26.11.2017 10:00;29;33;32;83
26.11.2017 11:00;28;51;38;116
26.11.2017 12:00;29;68;50;154
26.11.2017 13:00;27;47;41;112
26.11.2017 14:00;27;48;42;115
26.11.2017 15:00;25;54;49;132
26.11.2017 16:00;21;58;49;139
26.11.2017 17:00;18;53;47;127
26.11.2017 18:00;17;47;42;113
26.11.2017 19:00;18;35;39;93
26.11.2017 20:00;17;30;34;80
26.11.2017 21:00;17;29;34;78
26.11.2017 22:00;17;31;32;80
